#t(s)                   RSS   PageFaults/s            User      Mean_CPU%      Inst_CPU%   Timestamp                       PID   Label                   
0.2                18604032   41609.558257             0.0           1.0%           1.0%   2025-08-26T11:38:16.865842    25676   #                       
0.7               338522112   131958.832030            0.0           0.3%           0.1%   2025-08-26T11:38:17.457248    25676   # String of 305.000 MB  
1.3               215900160      13.864414             0.0           0.2%           0.0%   2025-08-26T11:38:17.962032    25676   #                       
1.8               207708160   91105.216831             0.0           0.2%           0.1%   2025-08-26T11:38:18.485339    25676   # String of 186.000 MB  
2.3               207724544       7.913162             0.0           0.1%           0.0%   2025-08-26T11:38:18.990698    25676   #                       
2.8                12713984      19.943123             0.0           0.1%           0.0%   2025-08-26T11:38:19.492222    25676   #                       
3.3                12730368      13.844441             0.0           0.1%           0.0%   2025-08-26T11:38:19.997665    25676   #                       
3.8               254939136   116892.950615            0.0           0.1%           0.2%   2025-08-26T11:38:20.503640    25676   # String of 231.000 MB  
4.3               254955520      13.916830             0.0           0.1%           0.0%   2025-08-26T11:38:21.006588    25676   #                       
4.8               254963712       3.954046             0.0           0.1%           0.0%   2025-08-26T11:38:21.512441    25676   #                       
5.3                12738560       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:22.017897    25676   #                       
5.8               287469568   133974.471443            0.0           0.1%           0.2%   2025-08-26T11:38:22.518462    25676   # String of 262.000 MB  
6.3               287469568       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:23.022489    25676   #                       
6.8                12738560       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:23.528074    25676   #                       
7.3               325234688   150820.713596            0.0           0.1%           0.2%   2025-08-26T11:38:24.033893    25676   # String of 298.000 MB  
7.8               325238784       1.977278             0.0           0.1%           0.0%   2025-08-26T11:38:24.539705    25676   #                       
8.3               325238784       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:25.045427    25676   #                       
8.8                12759040       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:25.551186    25676   #                       
9.3               240304128   110776.125530            0.0           0.1%           0.2%   2025-08-26T11:38:26.052689    25676   # String of 217.000 MB  
9.8               240304128       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:26.557695    25676   #                       
10.4               12759040       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:27.060774    25676   #                       
10.9              394448896   184234.524879            0.0           0.1%           0.3%   2025-08-26T11:38:27.566566    25676   # String of 364.000 MB  
11.4              394448896       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:28.070544    25676   #                       
11.9               12763136       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:28.576279    25676   #                       
12.4              260231168   119991.204418            0.0           0.1%           0.2%   2025-08-26T11:38:29.079796    25676   # String of 236.000 MB  
12.9              260231168       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:29.580670    25676   #                       
13.4               12763136       0.000000             0.0           0.1%           0.0%   2025-08-26T11:38:30.086506    25676   #                       
13.5               12779520      39.271958             0.0           0.1%           0.0%   2025-08-26T11:38:30.188399    25676   #                       
