2025-08-26 11:38:16,865 - ex_process.py#20 - 25676 - (MainThread) - INFO     - Demonstration of logging a process
2025-08-26 11:38:16,866 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON-START {"timestamp": "2025-08-26 11:38:16.865842", "memory_info": {"rss": 18604032, "vms": 35664240640, "pfaults": 6462, "pageins": 305}, "cpu_times": {"user": 0.001617173, "system": 0.000883571, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 0.15530085563659668, "pid": 25676}
2025-08-26 11:38:17,458 - process.py#293 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:17.457248", "memory_info": {"rss": 338522112, "vms": 35992477696, "pfaults": 84567, "pageins": 306}, "cpu_times": {"user": 0.002415542, "system": 0.00201321, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 0.747189998626709, "pid": 25676, "label": "String of 305.000 MB"}
2025-08-26 11:38:17,962 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:17.962032", "memory_info": {"rss": 215900160, "vms": 35992477696, "pfaults": 84574, "pageins": 306}, "cpu_times": {"user": 0.002434276, "system": 0.002020483, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 1.252079725265503, "pid": 25676}
2025-08-26 11:38:18,485 - process.py#293 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:18.485339", "memory_info": {"rss": 207708160, "vms": 35867697152, "pfaults": 132204, "pageins": 306}, "cpu_times": {"user": 0.003026687, "system": 0.003037367, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 1.7748818397521973, "pid": 25676, "label": "String of 186.000 MB"}
2025-08-26 11:38:18,991 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:18.990698", "memory_info": {"rss": 207724544, "vms": 35867697152, "pfaults": 132208, "pageins": 306}, "cpu_times": {"user": 0.003035802, "system": 0.003039535, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 2.2803688049316406, "pid": 25676}
2025-08-26 11:38:19,492 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:19.492222", "memory_info": {"rss": 12713984, "vms": 35672645632, "pfaults": 132218, "pageins": 306}, "cpu_times": {"user": 0.003048784, "system": 0.003380969, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 2.781794786453247, "pid": 25676}
2025-08-26 11:38:19,998 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:19.997665", "memory_info": {"rss": 12730368, "vms": 35672645632, "pfaults": 132225, "pageins": 306}, "cpu_times": {"user": 0.003060478, "system": 0.003383436, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 3.2874128818511963, "pid": 25676}
2025-08-26 11:38:20,504 - process.py#293 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:20.503640", "memory_info": {"rss": 254939136, "vms": 35914883072, "pfaults": 191363, "pageins": 306}, "cpu_times": {"user": 0.004056232, "system": 0.004776873, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 3.7933287620544434, "pid": 25676, "label": "String of 231.000 MB"}
2025-08-26 11:38:21,007 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:21.006588", "memory_info": {"rss": 254955520, "vms": 35914883072, "pfaults": 191370, "pageins": 306}, "cpu_times": {"user": 0.00407332, "system": 0.004781243, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 4.296316862106323, "pid": 25676}
2025-08-26 11:38:21,512 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:21.512441", "memory_info": {"rss": 254963712, "vms": 35914883072, "pfaults": 191372, "pageins": 306}, "cpu_times": {"user": 0.004089161, "system": 0.004784408, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 4.802127838134766, "pid": 25676}
2025-08-26 11:38:22,018 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:22.017897", "memory_info": {"rss": 12738560, "vms": 35672645632, "pfaults": 191372, "pageins": 306}, "cpu_times": {"user": 0.004103852, "system": 0.005077031, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 5.307492733001709, "pid": 25676}
2025-08-26 11:38:22,518 - process.py#293 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:22.518462", "memory_info": {"rss": 287469568, "vms": 35947388928, "pfaults": 258445, "pageins": 306}, "cpu_times": {"user": 0.00499127, "system": 0.006410045, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 5.808132886886597, "pid": 25676, "label": "String of 262.000 MB"}
2025-08-26 11:38:23,022 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:23.022489", "memory_info": {"rss": 287469568, "vms": 35947388928, "pfaults": 258445, "pageins": 306}, "cpu_times": {"user": 0.005006692, "system": 0.006412352, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 6.312170028686523, "pid": 25676}
2025-08-26 11:38:23,528 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:23.528074", "memory_info": {"rss": 12738560, "vms": 35672645632, "pfaults": 258445, "pageins": 306}, "cpu_times": {"user": 0.005020776, "system": 0.006866956, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 6.817765951156616, "pid": 25676}
2025-08-26 11:38:24,034 - process.py#293 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:24.033893", "memory_info": {"rss": 325234688, "vms": 35985137664, "pfaults": 334739, "pageins": 306}, "cpu_times": {"user": 0.006158878, "system": 0.008417037, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 7.323624849319458, "pid": 25676, "label": "String of 298.000 MB"}
2025-08-26 11:38:24,540 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:24.539705", "memory_info": {"rss": 325238784, "vms": 35985137664, "pfaults": 334740, "pageins": 306}, "cpu_times": {"user": 0.006174567, "system": 0.008419326, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 7.829370737075806, "pid": 25676}
2025-08-26 11:38:25,045 - process.py#289 - 25676 - (ProcMon   ) - INFO     - ProcessLoggingThread-JSON {"timestamp": "2025-08-26 11:38:25.045427", "memory_info": {"rss": 325238784, "vms": 35985137664, "pfaults": 334740, "pageins": 306}, "cpu_times": {"user": 0.006189953, "system": 0.008421632, "children_user": 0.0, "children_system": 0.0}, "elapsed_time": 8.335109949111938, "pid": 25676}
